lemma,part_of_speech,absolute_frequency
Barotrauma,PROPN,1
Barr,PROPN,12
Barre,PROPN,4
Barrett,PROPN,5
Barrie,PROPN,1
Barth,PROPN,1
Bartholin,PROPN,11
Bartholinitis,PROPN,1
Bartholomew,PROPN,1
Bartonella,PROPN,2
Basil,PROPN,1
Basiliximab,PROPN,1
Bat,PROPN,1
Bates,PROPN,2
Batten,PROPN,2
Bay,PROPN,1
Bazin,PROPN,2
Beans,PROPN,1
Becker,PROPN,3
Beclometasone,PROPN,3
Beconase,PROPN,2
Becquerel,PROPN,1
Beddow,PROPN,1
Beef,PROPN,2
Beeftapeworm,PROPN,1
Behcet,PROPN,4
Behget,PROPN,2
Beider,PROPN,2
Bell,PROPN,4
Belladonna,PROPN,1
Bence,PROPN,1
Bender,PROPN,1
Bendroflumethiazide,PROPN,1
Benign,PROPN,2
Bennett,PROPN,1
Benorilate,PROPN,2
Benperidol,PROPN,1
Benwell,PROPN,1
Benzhexol,PROPN,1
Benzocaine,PROPN,1
Benzodiazepine,PROPN,4
Benzoyl,PROPN,1
Benzydamine,PROPN,1
Benzylpenicillin,PROPN,2
Beriberi,PROPN,1
Bernard,PROPN,3
Berry,PROPN,2
Berwick,PROPN,1
Best,PROPN,1
Betahistine,PROPN,1
Betaxolol,PROPN,2
Betel,PROPN,1
Betnovate,PROPN,1
Bezafibrate,PROPN,1
Bhalla,PROPN,1
Bicarbonate,PROPN,2
Bicornuate,PROPN,1
Biedl,PROPN,3
Bilateral,PROPN,1
Bile,PROPN,9
Biliary,PROPN,1
Bilirubin,PROPN,4
Billroth,PROPN,1
Binding,PROPN,2
Binge,PROPN,1
Binor,PROPN,1
Biofotos,PROPN,1
Biophoto,PROPN,1
Bioprosthesis,PROPN,1
Biopsy,PROPN,2
Biotin,PROPN,3
Biperiden,PROPN,1
Bisacodyl,PROPN,1
Bisoprolol,PROPN,2
Bites,PROPN,1
Bitot,PROPN,2
Bj,PROPN,2
Black,PROPN,1
Bladder,PROPN,3
Blaese,PROPN,1
Blake,PROPN,1
Blalock,PROPN,1
Blank,PROPN,1
Blastocyst,PROPN,3
Bleeding,PROPN,2
Blepharospasm,PROPN,1
Blind,PROPN,1
Blinking,PROPN,1
Bloodvessel,PROPN,1
Bloom,PROPN,2
Blue,PROPN,2
Blundell,PROPN,1
Body,PROPN,1
Bone,PROPN,2
Bony,PROPN,2
Bornholm,PROPN,1
Borrelia,PROPN,2
Bosanko,PROPN,1
Botox,PROPN,1
Bouchard,PROPN,2
Bowen,PROPN,4
Bowl,PROPN,1
Bowman,PROPN,1
Boylston,PROPN,1
Bq,PROPN,2
Brad,PROPN,1
Bradycardias,PROPN,1
Bradykinin,PROPN,2
Braille,PROPN,2
Brain,PROPN,1
Brainstem,PROPN,1
Bran,PROPN,2
Branch,PROPN,3
Braxton,PROPN,5
Brazil,PROPN,4
Bread,PROPN,5
Break,PROPN,1
Breath,PROPN,1
Breathlessness,PROPN,4
Bredberg,PROPN,1
Breech,PROPN,2
Brendan,PROPN,1
Brewer,PROPN,1
Brian,PROPN,3
Bridges,PROPN,1
Briggs,PROPN,1
Briquet,PROPN,1
British,PROPN,2
Brittle,PROPN,1
Broadus,PROPN,1
Broca,PROPN,6
Broccoli,PROPN,1
Brodmann,PROPN,1
Brompheniramine,PROPN,1
Bromwich,PROPN,1
Bronchi,PROPN,2
Bronchiole,PROPN,2
Bronchioles,PROPN,1
Bronchitis,PROPN,1
Bronchodilator,PROPN,2
Bronchoscope,PROPN,1
Bronchoscopy,PROPN,1
Bronchospasm,PROPN,1
Broom,PROPN,1
Brown,PROPN,3
Brucella,PROPN,1
Brucellosis,PROPN,1
Bryn,PROPN,2
Buckley,PROPN,1
Budd,PROPN,2
Budesonide,PROPN,1
Buerger,PROPN,6
Bulb,PROPN,1
Bunnell,PROPN,1
Burkitt,PROPN,4
Burnett,PROPN,1
Burriel,PROPN,1
Burroughs,PROPN,1
Burrow,PROPN,1
Bursas,PROPN,1
Burst,PROPN,1
Butobarbital,PROPN,1
Bypass,PROPN,2
Byssinosis,PROPN,1
C,PROPN,34
CA,PROPN,2
CAA,PROPN,1
CACHEXIA,PROPN,1
CAESAREAN,PROPN,1
CALCANEUS,PROPN,2
CALCIFEROL,NOUN,1
CALCIUM,NOUN,2
CALCULI,PROPN,1
CALENDAR,PROPN,1
CALF,PROPN,1
CANAL,PROPN,1
CANCER,PROPN,1
CANCER,VERB,2
CANCERPHOBIA,NOUN,1
CAP,PROPN,1
CAPILLARIES,PROPN,1
CAPILLARY,PROPN,1
CARBIMAZOLE,PROPN,1
CARBOCI,PROPN,1
CARBOHYDRATE,NOUN,2
CARBOHYDRATE,PROPN,2
CARCINOGENS,PROPN,2
CARCINOMA,PROPN,1
CARDIAC,PROPN,3
CARDIOPULMONARY,PROPN,1
CARDIOTOCOGRAPHY,PROPN,1
CARIES,PROPN,1
CARPAL,PROPN,1
CARPOPEDAL,VERB,1
CARinii,PROPN,1
CAT,PROPN,3
CATARACT,PROPN,1
CATATONIA,NOUN,1
CATHETER,PROPN,1
CATHETER,VERB,1
CATHETERIZATION,PROPN,1
CAUGHT,PROPN,1
CAUSES,PROPN,3
CAVA,PUNCT,2
CAVERNOUS,PROPN,1
CAVITY,PROPN,1
CBE,PROPN,1
CCA,PROPN,1
CCG,PROPN,2
CCl,PROPN,1
CD,PROPN,1
CDzHymphocytes,PROPN,1
CELL,PROPN,4
CELLULAR,VERB,3
CELLULOSE,PROPN,1
CELSIUS,PROPN,2
CENTRALLY,PROPN,1
CENTRES,PROPN,1
CEREBELLUM,PROPN,2
CEREBRAL,PROPN,2
CEREBROSPINAL,PROPN,1
CEREBROVASCULAR,PROPN,2
CEREBRUM,PROPN,1
CERVICAL,PROPN,5
CERVIX,PROPN,1
CESTODES,PROPN,1
CF,PROPN,5
CFC,PROPN,2
CFCs,PROPN,3
CGA,PROPN,1
CGG,PROPN,1
CGT,PROPN,1
CHAIR,PROPN,1
CHART,PROPN,1
CHAT,PROPN,1
CHEMICAL,PROPN,2
CHEST,PROPN,3
CHILDBIRTH,PROPN,2
CHILL,PROPN,1
CHOCOLATE,PROPN,1
